athlete_name,instagram_account
 Kelly Slater,@kellyslater
 Bethany Hamilton,@bethanyhamilton
 Alana Blanchard,@alanarblanchard
 John john Florence,@john_john_florence
 Jamie O'Brien,@whoisjob
 Anastasia Ashley,@anastasiaashley
 Lakey Peterson,@lakeypeterson
 Sage Erickson,@sageerickson
 Laird Hamilton,@lairdhamiltonsurf
 Nathan Florence,@nathan_florence
 Mason Ho,@cocom4debarrelkilla
 Jackson Dorian,@jackson_dorian
 Conner Coffin,@connercoffin
 Quincy Davis,@quincydavis
 Courtney Conlogue,@courtneyconlogue
 Caroline Marks,@caroline_markss
 Parker Coffin,@parkercoffin
 Brett Simpson,@brettsimpson
 Kassia,@kassiasurf
 Jett Schilling,@jettschilling
 Ryan Craig,@chachfiles
 Kirra Pinkerton,@kirrapink
 Zoe Benedetto,@zoe_benedetto
 Nathan Baker,@evo_n8
 Cruz Dinofa,@cruzdinofa
