athlete_name,points_earned_2022,country,profile_url
Filipe Toledo,58010,Brazil,https://www.worldsurfleague.com/athletes/1456/filipe-toledo
Jack Robinson,52675,Australia,https://www.worldsurfleague.com/athletes/3442/jack-robinson
Ethan Ewing,45620,Australia,https://www.worldsurfleague.com/athletes/4133/ethan-ewing
Italo Ferreira,41790,Brazil,https://www.worldsurfleague.com/athletes/1737/italo-ferreira
Kanoa Igarashi,41600,Japan,https://www.worldsurfleague.com/athletes/3896/kanoa-igarashi
Griffin Colapinto,41450,United States,https://www.worldsurfleague.com/athletes/3165/griffin-colapinto
Caio Ibelli,35525,Brazil,https://www.worldsurfleague.com/athletes/1291/caio-ibelli
Callum Robson,34560,Australia,https://www.worldsurfleague.com/athletes/9654/callum-robson
John John Florence,33345,Hawaii,https://www.worldsurfleague.com/athletes/199/john-john-florence
Jordy Smith,31505,South Africa,https://www.worldsurfleague.com/athletes/564/jordy-smith
Kelly Slater,30705,United States,https://www.worldsurfleague.com/athletes/553/kelly-slater
